rowname,before,during,less,more
SA_SOLOMASTURBATION,414,354,141,145
SA_INTERCOURSEWITHPARTNER,343,199,188,113
SA_WATCHPORNSOLO,322,251,122,110
SA_MUTUALMASTURBATION,219,131,109,74
SA_SEXTEDWITHPARTNER,194,110,100,78
SA_SENTNUDESTOPARTNER,156,82,86,61
SA_SEXTOYSSOLO,152,112,91,48
SA_SEXTOYSWITHPARTNER,144,73,105,37
SA_ROLEPLAYPARTNER,88,43,78,30
SA_WATCHPORNWITHPARTNER,88,41,82,20
SA_INTERCOURSEWITHNONPARTNER,69,8,99,3
SA_SEXTEDWITHNONPARTNER,56,33,63,30
SA_SENTNUDESTONONPARTNER,37,27,64,22
SA_ROLEPLAYNONPARTNER,23,6,62,9
