ID,SDI_SCORE,LONEV3_SCORE,MSPSS_SCORE
1,47,43,6.416666666666667
2,49.96223021582734,43,5.916666666666667
3,69,54,5.416666666666667
4,76,33,4.916666666666667
5,54,51,5
6,31,52,3
7,73,35,7
8,47,36,6.083333333333333
9,79,24,6.666666666666667
10,82,56,5.833333333333333
11,40,57,4.666666666666667
12,63,41,5.583333333333333
13,87,37,7
14,70,45,5.75
15,59,51,5.5
16,60,65,4.666666666666667
17,46,37,6.75
18,41,43,5.166666666666667
19,40,47,5.25
20,53,32,6.083333333333333
21,48,58,2.5833333333333335
22,59,41,6.75
23,28.235294117647058,27.656028368794328,4.416666666666667
24,77,52,4.5
25,71,38,5.5
26,54,48,6
27,43.55693950177936,58,4.75
28,63,58,5.25
29,47,51,5.833333333333333
30,55,28,6.833333333333333
31,41.80617044825678,42,5.75
32,62,39,5.666666666666667
33,67,55,3.3333333333333335
34,72,44,6.416666666666667
35,71,40,4.916666666666667
36,51.107497617568264,33,6.583333333333333
37,7,55,4.416666666666667
38,42,49,5.333333333333333
39,28,56,4.583333333333333
40,40,56,3.5
41,45,38,5.75
42,83,64,3.4166666666666665
43,54,33,6.166666666666667
44,36,49,6.166666666666667
45,67,63,4.916666666666667
46,40,55,4.166666666666667
47,55,32,6.333333333333333
48,41,41,5.916666666666667
49,43,61,4
50,40,46,3.5
51,80,41,6.583333333333333
52,66,50,5.333333333333333
53,65,51,4.916666666666667
54,55,38,5.166666666666667
55,51.96223021582734,50,5
56,39,45,5.5
57,75,39,7
58,59,30,5.75
59,78,61,3.5
60,34,36,5.75
61,74,55,5.333333333333333
62,50,57,4.25
63,89,52,5.583333333333333
64,76,65,5.25
65,37,48,5.333333333333333
66,51,46,5.75
67,56,43,5.25
68,63,49,5.704639479905437
69,51,28,6.916666666666667
70,61,58,4.416666666666667
71,62,53,6
72,0,69,5.916666666666667
73,62,26,6.5
74,64,54,3.25
75,50,38,6
76,70,37,6.333333333333333
77,45,45,6.083333333333333
78,96,48,6.166666666666667
79,83,49,4.75
80,64,47,5.333333333333333
81,64,66,2.4166666666666665
82,44,56,3.6666666666666665
83,62,40,5.333333333333333
84,52,40,5.916666666666667
85,52,48,6.5
86,61,49,6
87,46,39,5.25
88,61.53237410071942,48,3.6666666666666665
89,47,58,3.0833333333333335
90,55,63,3.75
91,1,54,2.6666666666666665
92,46,39,5.166666666666667
93,54,26,7
94,61,58,2.8333333333333335
95,19,42,6
96,43.26355738513882,60,3.25
97,43,60,3.4166666666666665
98,71,35,6.916666666666667
99,65,47,5.583333333333333
100,44,53,5.833333333333333
101,68,45,6.083333333333333
102,84,41,6.75
103,65,32,6.833333333333333
104,48,50,4.25
105,59,52,4.75
106,72,55,3.0833333333333335
107,70,58,3.4166666666666665
108,63,34,6.083333333333333
109,77,68,2.25
110,68.26355738513882,35,6.5
111,67,47,5.583333333333333
112,76,29,6.666666666666667
113,66,43,6.916666666666667
114,72.23529411764706,40,5.666666666666667
115,59,36,4.198286052009457
116,40,26,6.583333333333333
117,53,50,5.083333333333333
118,73,53,6.166666666666667
119,59,48,4
120,62,64,3.5
121,27,37,4.833333333333333
122,62,41,6.666666666666667
123,67,49,3.1666666666666665
124,93,36,6.166666666666667
125,65,30,7
126,93,68,2.0833333333333335
127,63,40,6.666666666666667
128,77,34,7
129,70,40,5.166666666666667
130,53.768953068592054,71,2.0833333333333335
131,58,51,6.166666666666667
132,21,43,6.916666666666667
133,68,44,5.916666666666667
134,45,34,6.916666666666667
135,70,47,5.333333333333333
136,88,39,6.333333333333333
137,58,52,5.25
138,71,36,6.25
139,34,26,6.75
140,43,59,5.083333333333333
141,71,48,5.666666666666667
142,62,52,4.833333333333333
143,73,40,5.166666666666667
144,52,42,6.083333333333333
145,66,57,4.25
146,94,54,4.5
147,65,27,6.916666666666667
148,22,48,4.333333333333333
149,64,51,6.5
150,66,44,6.166666666666667
151,89,54,6.083333333333333
152,29,28,7
153,87,44,6.5
154,28,51,5.083333333333333
155,51,43,7
156,77,46,6.916666666666667
157,55,41,5.666666666666667
158,85,63,3
159,65,46,4.5
160,70,35,6.75
161,54,29,6.166666666666667
162,58,53,4.371158392434988
163,71,44,6.243498817966903
164,68,59,5
165,31,56,4
166,20,39,5
167,55.68810246972369,53,4.416666666666667
168,23.88617920770602,49,4.666666666666667
169,11,58,5.166666666666667
170,73,53,4.833333333333333
171,68,41,6.333333333333333
172,45,40,6.083333333333333
173,30,66,1.5
174,43,35,6.416666666666667
175,79,48,4.583333333333333
176,59,49,6.083333333333333
177,47,35,6
178,28,56,4.916666666666667
179,49,66,3.9166666666666665
180,72,45,5.083333333333333
181,58,36,5.5
182,82,31,3.9166666666666665
183,53,58,4.75
184,45,56,4.916666666666667
185,62,51,4.916666666666667
186,56,55,5
187,50,53,6.5
188,69,57,5
189,47.76502554664676,26,6.583333333333333
190,77,49,6.083333333333333
191,68,58,3.5833333333333335
192,77,55,4.833333333333333
193,36,37,5.333333333333333
194,80,54,3.5833333333333335
195,70,40,4.5
196,72,28,6.416666666666667
197,74,46,5.583333333333333
198,69,40,5.25
199,30,40,4.25
200,50,44,6.166666666666667
201,62,40,5.833333333333333
202,66,41,6.5
203,36,51,5.083333333333333
204,81,39,6.166666666666667
205,54,39,6.25
206,59.53735373267617,45,5.583333333333333
207,48,55,4.666666666666667
208,71,57,5.666666666666667
209,34.49885150278588,55,4.75
210,64,32.66429840142096,6.833333333333333
211,64,25,5.75
212,37.45545102379635,51,4.833333333333333
213,37,48,5.166666666666667
214,63,47,4.416666666666667
215,71,41,5.583333333333333
216,41,50,5.75
217,42.204293228435304,54,5.083333333333333
218,52,44,5.666666666666667
219,45,41,5.5
220,61,60,6
221,36,66,4.833333333333333
222,78,24,6.75
223,28,45,4.833333333333333
224,50,40,6.166666666666667
225,60,49,5.416666666666667
226,37,50,5.25
227,60,38,6.583333333333333
228,63,42,5.833333333333333
229,55,42,6
230,48,59,3.75
231,53,52,5
232,85,34,6.833333333333333
233,72,45,4.333333333333333
234,66,33,6.833333333333333
235,46.26355738513882,29,6.916666666666667
236,56,43,5.666666666666667
237,67,55,4.5
238,64,43,5.916666666666667
239,71,49,5.416666666666667
