ID,SDI_SCORE,SOIR,SOIR_behavior,SOIR_attitude,SOIR_desire
1,47,28,10,15,3
2,49.96223021582734,39,17,19,3
3,69,37,11,11,16
4,76,66,19,26,21
5,54,14,5.617021276595745,7,4
6,31,10,3,3,4
7,73,27,6,16,5
8,47,30,6,18,6
9,79,47,18,17,12
10,82,29,4,20,5
11,40,24,4,17,3
12,63,32,6,22,4
13,87,12,3,3,6
14,70,54,14,23,17
15,59,46,17,19,10
16,60,39,8,20,11
17,46,16,4,9,3
18,41,16,6,7,5.449378330373001
19,40,23,5,12,6
20,53,28,6,15,7
21,48,23,5,15,3
22,59,17,3,10,4
23,28.235294117647058,23,3,14,6
24,77,26,3,18,5
25,71,41,12,17,12
26,54,30,3,13,14
27,43.55693950177936,27,3,12,12
28,63,31,7,19,5
29,47,22,6,10,6
30,55,39,13,21,5
31,41.80617044825678,10,4,3,3
32,62,18,5,8,5
33,67,15,3,5,7
34,72,54,8,26,20
35,71,27,7,10,10
36,51.107497617568264,10,4,3,3
37,7,28,12,12,4
38,42,22,4,11,7
39,28,41,15,20,6
40,40,35,8,17,10
41,45,41,13,17,11
42,83,70,20,27,23
43,54,19,5,9,5
44,36,34,7,18,9
45,67,40,11,10,20
46,40,62,25,25,12
47,55,26,6,16,4
48,41,31,5,14,12
49,43,42,5,23,14
50,40,18,4,7,7
51,80,36,9,18,9
52,66,38,17,18,3
53,65,31,7,19,5
54,55,34,15,11,8
55,51.96223021582734,28,3,14,11
56,39,28,3,18,7
57,75,30,5,19,6
58,59,47,8,26,13
59,78,29,6,20,3
60,34,31,5,22,4
61,74,29,7,15,7
62,50,52,16,24,13
63,89,36,9,21,6
64,76,29,6,18,5
65,37,25,10,11,4
66,51,47,12,20,15
67,56,13,4,6,3
68,63,45,11,23,11
69,51,47,9,27,11
70,61,32,5,15,12
71,62,51,18,24,9
72,0,15,3,9,3
73,62,50,18,25,7
74,64,39,4,23,13
75,50,28,14,10,4
76,70,36,5,20,11
77,45,31,11,16,4
78,96,59,18,22,20
79,83,32,11,15,6
80,64,25,4,17,4
